Sector,year,month,avg_daily_return,avg_volatility,avg_pe_ratio,avg_market_cap,extreme_moves,num_tickers
Automobile,2002,7,-0.0065,0.0194,29.18,2.465214234624E12,6,4
Automobile,2002,8,-3.0E-4,0.0232,29.18,2.465214234624E12,1,4
Automobile,2002,9,-0.0018,0.0206,29.18,2.465214234624E12,4,4
Automobile,2002,10,0.0046,0.0239,29.18,2.465214234624E12,7,4
Automobile,2002,11,0.0062,0.0229,29.18,2.465214234624E12,5,4
Automobile,2002,12,-2.0E-4,0.0209,29.18,2.465214234624E12,1,4
Automobile,2003,1,-0.0017,0.0169,29.18,2.465214234624E12,1,4
Automobile,2003,2,0.0,0.0182,29.18,2.465214234624E12,3,4
Automobile,2003,3,-0.0059,0.0184,29.18,2.465214234624E12,4,4
Automobile,2003,4,0.0052,0.0224,29.17,2.486952379511E12,3,4
Automobile,2003,5,0.0072,0.0181,29.18,2.465214234624E12,3,4
Automobile,2003,6,0.0083,0.021,29.18,2.465214234624E12,3,4
Automobile,2003,7,0.0072,0.0176,29.44,2.812900426026E12,6,5
Automobile,2003,8,0.0051,0.024,29.5,2.890164024115E12,7,5
Automobile,2003,9,0.0028,0.0252,29.5,2.890164024115E12,7,5
Automobile,2003,10,0.0101,0.0278,29.5,2.890164024115E12,15,5
Automobile,2003,11,0.0044,0.0278,29.5,2.890164024115E12,8,5
Automobile,2003,12,0.0057,0.0243,29.5,2.890164024115E12,4,5
Automobile,2004,1,0.0015,0.0288,29.5,2.890164024115E12,13,5
Automobile,2004,2,0.0033,0.0313,29.5,2.890164024115E12,7,5
Automobile,2004,3,0.0,0.0271,29.5,2.890164024115E12,9,5
Automobile,2004,4,1.0E-4,0.024,29.52,2.904769527165E12,2,5
Automobile,2004,5,-0.0039,0.0304,29.5,2.890164024115E12,18,5
Automobile,2004,6,0.0015,0.0278,29.5,2.890164024115E12,2,5
Automobile,2004,7,-0.0013,0.0217,29.5,2.890164024115E12,5,5
Automobile,2004,8,-1.0E-4,0.0178,29.5,2.890164024115E12,1,5
Automobile,2004,9,6.0E-4,0.0159,29.5,2.890164024115E12,1,5
Automobile,2004,10,0.0011,0.017,29.52,2.904769527165E12,2,5
Automobile,2004,11,0.0034,0.0144,29.5,2.890164024115E12,2,5
Automobile,2004,12,0.0056,0.0166,29.5,2.890164024115E12,2,5
Automobile,2005,1,-8.0E-4,0.023,29.5,2.890164024115E12,5,5
Automobile,2005,2,0.0026,0.0219,29.5,2.890164024115E12,2,5
Automobile,2005,3,-9.0E-4,0.0207,29.5,2.890164024115E12,2,5
Automobile,2005,4,-0.0028,0.0192,29.5,2.890164024115E12,1,5
Automobile,2005,5,0.0053,0.0174,29.5,2.890164024115E12,2,5
Automobile,2005,6,0.0019,0.017,29.5,2.890164024115E12,0,5
Automobile,2005,7,0.0858,0.0788,29.5,2.890164024115E12,4,5
Automobile,2005,8,0.001,0.3685,29.5,2.890164024115E12,2,5
Automobile,2005,9,0.0039,0.0199,29.5,2.890164024115E12,3,5
Automobile,2005,10,-0.0019,0.0212,29.5,2.890164024115E12,3,5
Automobile,2005,11,0.0075,0.0214,29.5,2.890164024115E12,4,5
Automobile,2005,12,4.0E-4,0.0184,29.5,2.890164024115E12,0,5
Automobile,2006,1,0.0028,0.016,29.5,2.890164024115E12,2,5
Automobile,2006,2,0.0074,0.0201,29.5,2.890164024115E12,3,5
Automobile,2006,3,0.002,0.0212,29.5,2.890164024115E12,2,5
Automobile,2006,4,9.0E-4,0.0224,29.5,2.890164024115E12,3,5
Automobile,2006,5,-0.0057,0.03,29.5,2.890164024115E12,20,5
Automobile,2006,6,0.0034,0.0443,29.5,2.890164024115E12,24,5
Automobile,2006,7,-0.0031,0.0349,29.5,2.890164024115E12,9,5
Automobile,2006,8,0.0042,0.0209,29.5,2.890164024115E12,1,5
Automobile,2006,9,0.0059,0.0174,29.5,2.890164024115E12,2,5
Automobile,2006,10,0.0025,0.023,29.5,2.890164024115E12,4,5
Automobile,2006,11,0.0014,0.0192,29.5,2.890164024115E12,2,5
Automobile,2006,12,-5.0E-4,0.0183,29.5,2.890164024115E12,0,5
Automobile,2007,1,6.0E-4,0.0198,29.5,2.890164024115E12,2,5
Automobile,2007,2,-0.0049,0.0204,29.5,2.890164024115E12,3,5
Automobile,2007,3,-0.0027,0.025,29.5,2.890164024115E12,5,5
Automobile,2007,4,0.0013,0.0259,29.5,2.890164024115E12,6,5
Automobile,2007,5,0.002,0.0217,29.5,2.890164024115E12,8,5
Automobile,2007,6,-0.002,0.0194,29.5,2.890164024115E12,0,5
Automobile,2007,7,0.0016,0.0172,29.5,2.890164024115E12,1,5
Automobile,2007,8,0.001,0.0233,29.5,2.890164024115E12,3,5
Automobile,2007,9,0.0052,0.0202,29.5,2.890164024115E12,5,5
Automobile,2007,10,7.0E-4,0.0276,29.5,2.890164024115E12,10,5
Automobile,2007,11,9.0E-4,0.0266,29.5,2.890164024115E12,4,5
Automobile,2007,12,6.0E-4,0.0236,29.5,2.890164024115E12,5,5
Automobile,2008,1,-0.0049,0.0279,29.5,2.890164024115E12,23,5
Automobile,2008,2,-4.0E-4,0.0414,29.5,2.890164024115E12,7,5
Automobile,2008,3,-0.004,0.0275,29.5,2.890164024115E12,6,5
Automobile,2008,4,0.0025,0.0201,29.5,2.890164024115E12,4,5
Automobile,2008,5,-0.0056,0.0235,29.5,2.890164024115E12,9,5
Automobile,2008,6,-0.0091,0.0385,29.5,2.890164024115E12,9,5
Automobile,2008,7,0.0052,0.0349,29.5,2.890164024115E12,15,5
Automobile,2008,8,0.005,0.0296,29.5,2.890164024115E12,7,5
Automobile,2008,9,-1.0E-4,0.0208,29.5,2.890164024115E12,3,5
Automobile,2008,10,-0.0093,0.0385,29.5,2.890164024115E12,33,5
Automobile,2008,11,-0.0085,0.0612,29.5,2.890164024115E12,18,5
Automobile,2008,12,0.0053,0.033,29.5,2.890164024115E12,9,5
Automobile,2009,1,0.0046,0.0306,29.5,2.890164024115E12,12,5
Automobile,2009,2,0.0044,0.0261,29.5,2.890164024115E12,5,5
Automobile,2009,3,0.0068,0.0245,29.5,2.890164024115E12,6,5
Automobile,2009,4,0.0042,0.0295,29.5,2.890164024115E12,9,5
Automobile,2009,5,0.0168,0.0387,29.5,2.890164024115E12,19,5
Automobile,2009,6,0.0017,0.0359,29.5,2.890164024115E12,4,5
Automobile,2009,7,0.0089,0.0264,29.5,2.890164024115E12,11,5
Automobile,2009,8,0.0024,0.0316,29.5,2.890164024115E12,15,5
Automobile,2009,9,0.0065,0.025,29.5,2.890164024115E12,4,5
Automobile,2009,10,-0.0037,0.0205,29.5,2.890164024115E12,1,5
Automobile,2009,11,0.007,0.0212,29.5,2.890164024115E12,2,5
Automobile,2009,12,0.0017,0.0189,29.5,2.890164024115E12,2,5
Automobile,2010,1,-0.0033,0.0182,29.5,2.890164024115E12,3,5
Automobile,2010,2,0.0022,0.0225,29.5,2.890164024115E12,3,5
Automobile,2010,3,0.0032,0.0225,29.5,2.890164024115E12,3,5
Automobile,2010,4,0.002,0.0171,29.5,2.890164024115E12,1,5
Automobile,2010,5,0.0016,0.0201,29.5,2.890164024115E12,2,5
Automobile,2010,6,0.0043,0.0198,29.5,2.890164024115E12,1,5
Automobile,2010,7,1.0E-4,0.0158,29.5,2.890164024115E12,2,5
Automobile,2010,8,0.0026,0.0194,29.5,2.890164024115E12,2,5
Automobile,2010,9,0.0046,0.0173,29.5,2.890164024115E12,2,5
Automobile,2010,10,9.0E-4,0.0181,29.5,2.890164024115E12,1,5
Automobile,2010,11,-1.0E-4,0.0177,29.5,2.890164024115E12,2,5
Automobile,2010,12,5.0E-4,0.0219,29.5,2.890164024115E12,3,5
Automobile,2011,1,-0.008,0.0208,29.5,2.890164024115E12,1,5
Automobile,2011,2,9.0E-4,0.0232,29.5,2.890164024115E12,8,5
Automobile,2011,3,0.004,0.0217,29.5,2.890164024115E12,0,5
Automobile,2011,4,0.0019,0.0182,29.5,2.890164024115E12,4,5
Automobile,2011,5,-6.0E-4,0.0225,29.5,2.890164024115E12,4,5
Automobile,2011,6,2.0E-4,0.0157,29.5,2.890164024115E12,1,5
Automobile,2011,7,0.0016,0.0146,29.5,2.890164024115E12,0,5
Automobile,2011,8,0.0013,0.0169,29.5,2.890164024115E12,2,5
Automobile,2011,9,0.0019,0.02,29.5,2.890164024115E12,2,5
Automobile,2011,10,0.0037,0.0186,29.5,2.890164024115E12,1,5
Automobile,2011,11,-0.0037,0.0182,29.5,2.890164024115E12,1,5
Automobile,2011,12,-0.0032,0.0192,29.5,2.890164024115E12,2,5
Automobile,2012,1,0.0044,0.0225,29.5,2.890164024115E12,6,5
Automobile,2012,2,0.002,0.0202,29.5,2.890164024115E12,1,5
Automobile,2012,3,0.0023,0.0192,29.5,2.890164024115E12,0,5
Automobile,2012,4,0.0025,0.0167,29.5,2.890164024115E12,1,5
Automobile,2012,5,-0.0054,0.0196,29.5,2.890164024115E12,1,5
Automobile,2012,6,0.0029,0.0169,29.5,2.890164024115E12,0,5
Automobile,2012,7,-7.0E-4,0.0149,29.5,2.890164024115E12,3,5
Automobile,2012,8,0.0014,0.0145,29.5,2.890164024115E12,1,5
Automobile,2012,9,0.0054,0.0146,29.5,2.890164024115E12,0,5
Automobile,2012,10,0.002,0.0142,29.5,2.890164024115E12,0,5
Automobile,2012,11,0.0025,0.0163,29.5,2.890164024115E12,2,5
Automobile,2012,12,0.0022,0.0147,29.5,2.890164024115E12,0,5
Automobile,2013,1,-9.0E-4,0.0131,29.5,2.890164024115E12,0,5
Automobile,2013,2,-0.0024,0.0142,29.5,2.890164024115E12,2,5
Automobile,2013,3,-0.0042,0.0169,29.5,2.890164024115E12,0,5
Automobile,2013,4,0.0066,0.0185,29.5,2.890164024115E12,4,5
Automobile,2013,5,0.0025,0.019,29.5,2.890164024115E12,2,5
Automobile,2013,6,1.0E-4,0.0189,29.5,2.890164024115E12,1,5
Automobile,2013,7,-0.0015,0.0182,29.5,2.890164024115E12,0,5
Automobile,2013,8,-0.0018,0.0193,29.5,2.890164024115E12,1,5
Automobile,2013,9,0.0041,0.0229,29.5,2.890164024115E12,4,5
Automobile,2013,10,0.0045,0.0178,29.5,2.890164024115E12,1,5
Automobile,2013,11,0.0013,0.0152,29.5,2.890164024115E12,0,5
Automobile,2013,12,0.0011,0.0171,29.5,2.890164024115E12,1,5
Automobile,2014,1,-0.0024,0.0136,29.5,2.890164024115E12,2,5
Automobile,2014,2,0.0021,0.0177,29.5,2.890164024115E12,1,5
Automobile,2014,3,0.0057,0.0168,29.5,2.890164024115E12,2,5
Automobile,2014,4,0.0,0.015,29.5,2.890164024115E12,0,5
Automobile,2014,5,0.0047,0.0184,29.5,2.890164024115E12,6,5
Automobile,2014,6,0.0055,0.0209,29.5,2.890164024115E12,3,5
Automobile,2014,7,-4.0E-4,0.0165,29.5,2.890164024115E12,0,5
Automobile,2014,8,0.007,0.0163,29.5,2.890164024115E12,4,5
Automobile,2014,9,0.0024,0.018,29.5,2.890164024115E12,5,5
Automobile,2014,10,0.0038,0.0172,29.5,2.890164024115E12,0,5
Automobile,2014,11,0.0023,0.0156,29.5,2.890164024115E12,1,5
Automobile,2014,12,-0.0011,0.0148,29.5,2.890164024115E12,1,5
Automobile,2015,1,8.0E-4,0.0133,29.5,2.890164024115E12,1,5
Automobile,2015,2,-0.002,0.0171,29.5,2.890164024115E12,4,5
Automobile,2015,3,-9.0E-4,0.0163,29.5,2.890164024115E12,0,5
Automobile,2015,4,-0.0026,0.0142,29.5,2.890164024115E12,0,5
Automobile,2015,5,0.0068,0.0216,29.5,2.890164024115E12,8,5
Automobile,2015,6,0.0015,0.0182,29.5,2.890164024115E12,0,5
Automobile,2015,7,0.0015,0.0149,29.5,2.890164024115E12,0,5
Automobile,2015,8,-0.0041,0.0189,29.5,2.890164024115E12,5,5
Automobile,2015,9,0.0024,0.0214,29.5,2.890164024115E12,0,5
Automobile,2015,10,6.0E-4,0.0158,29.5,2.890164024115E12,0,5
Automobile,2015,11,0.001,0.0153,29.5,2.890164024115E12,1,5
Automobile,2015,12,4.0E-4,0.015,29.5,2.890164024115E12,1,5
Automobile,2016,1,-0.0032,0.0163,29.5,2.890164024115E12,4,5
Automobile,2016,2,7.0E-4,0.0215,29.5,2.890164024115E12,5,5
Automobile,2016,3,0.0023,0.0206,29.5,2.890164024115E12,2,5
Automobile,2016,4,0.0023,0.0168,29.5,2.890164024115E12,1,5
Automobile,2016,5,0.0013,0.015,29.5,2.890164024115E12,0,5
Automobile,2016,6,0.0016,0.0122,29.5,2.890164024115E12,0,5
Automobile,2016,7,0.0037,0.0113,29.5,2.890164024115E12,1,5
Automobile,2016,8,0.0023,0.0154,29.5,2.890164024115E12,1,5
Automobile,2016,9,6.0E-4,0.014,29.5,2.890164024115E12,0,5
Automobile,2016,10,3.0E-4,0.0151,29.5,2.890164024115E12,1,5
Automobile,2016,11,-0.0043,0.02,29.5,2.890164024115E12,7,5
Automobile,2016,12,-4.0E-4,0.0192,29.5,2.890164024115E12,0,5
Automobile,2017,1,0.0047,0.013,29.5,2.890164024115E12,1,5
Automobile,2017,2,-8.0E-4,0.0147,29.5,2.890164024115E12,0,5
Automobile,2017,3,9.0E-4,0.0112,29.5,2.890164024115E12,0,5
Automobile,2017,4,0.0021,0.0105,29.5,2.890164024115E12,0,5
Automobile,2017,5,0.0033,0.0141,29.5,2.890164024115E12,1,5
Automobile,2017,6,-0.0012,0.0125,29.5,2.890164024115E12,0,5
Automobile,2017,7,0.0032,0.0095,29.5,2.890164024115E12,0,5
Automobile,2017,8,7.0E-4,0.0125,29.5,2.890164024115E12,0,5
Automobile,2017,9,-7.0E-4,0.0122,29.5,2.890164024115E12,0,5
Automobile,2017,10,0.0015,0.0114,29.5,2.890164024115E12,0,5
Automobile,2017,11,-3.0E-4,0.0104,29.5,2.890164024115E12,0,5
Automobile,2017,12,0.0026,0.0129,29.5,2.890164024115E12,1,5
Automobile,2018,1,2.0E-4,0.0129,29.5,2.890164024115E12,0,5
Automobile,2018,2,-0.0031,0.0164,29.5,2.890164024115E12,1,5
Automobile,2018,3,-8.0E-4,0.0129,29.5,2.890164024115E12,0,5
Automobile,2018,4,0.0037,0.0132,29.5,2.890164024115E12,0,5
Automobile,2018,5,-4.0E-4,0.0119,29.5,2.890164024115E12,1,5
Automobile,2018,6,-0.0011,0.0137,29.5,2.890164024115E12,0,5
Automobile,2018,7,0.0,0.0146,29.5,2.890164024115E12,3,5
Automobile,2018,8,7.0E-4,0.0158,29.5,2.890164024115E12,1,5
Automobile,2018,9,-0.0056,0.0157,29.5,2.890164024115E12,5,5
Automobile,2018,10,-0.0039,0.026,29.5,2.890164024115E12,8,5
Automobile,2018,11,0.0042,0.0206,29.5,2.890164024115E12,3,5
Automobile,2018,12,-2.0E-4,0.0195,29.5,2.890164024115E12,1,5
Automobile,2019,1,-0.0042,0.0171,29.5,2.890164024115E12,4,5
Automobile,2019,2,3.0E-4,0.0202,29.5,2.890164024115E12,2,5
Automobile,2019,3,-1.0E-4,0.016,29.5,2.890164024115E12,2,5
Automobile,2019,4,-2.0E-4,0.014,29.5,2.890164024115E12,0,5
Automobile,2019,5,7.0E-4,0.0162,29.5,2.890164024115E12,3,5
Automobile,2019,6,-7.0E-4,0.0181,29.5,2.890164024115E12,1,5
Automobile,2019,7,-0.0058,0.0179,29.5,2.890164024115E12,4,5
Automobile,2019,8,0.0027,0.0234,29.5,2.890164024115E12,3,5
Automobile,2019,9,0.0039,0.0258,29.5,2.890164024115E12,9,5
Automobile,2019,10,0.0051,0.0267,29.5,2.890164024115E12,1,5
Automobile,2019,11,-0.0024,0.0145,29.5,2.890164024115E12,0,5
Automobile,2019,12,-1.0E-4,0.0135,29.5,2.890164024115E12,1,5
Automobile,2020,1,-3.0E-4,0.0132,29.5,2.890164024115E12,0,5
Automobile,2020,2,-0.008,0.0178,29.5,2.890164024115E12,3,5
Automobile,2020,3,-0.0138,0.0336,29.5,2.890164024115E12,32,5
Automobile,2020,4,0.015,0.0578,29.5,2.890164024115E12,17,5
Automobile,2020,5,0.0063,0.0388,29.5,2.890164024115E12,19,5
Automobile,2020,6,0.0028,0.0259,29.5,2.890164024115E12,2,5
Automobile,2020,7,0.0048,0.0209,29.5,2.890164024115E12,2,5
Automobile,2020,8,0.0024,0.0197,29.5,2.890164024115E12,3,5
Automobile,2020,9,9.0E-4,0.0191,29.5,2.890164024115E12,2,5
Automobile,2020,10,-0.0019,0.0183,29.5,2.890164024115E12,2,5
Automobile,2020,11,0.0064,0.019,29.5,2.890164024115E12,2,5
Automobile,2020,12,0.0015,0.0176,29.5,2.890164024115E12,2,5
Automobile,2021,1,0.0042,0.0181,29.5,2.890164024115E12,5,5
Automobile,2021,2,-0.0016,0.0228,29.5,2.890164024115E12,3,5
Automobile,2021,3,-0.0012,0.0188,29.5,2.890164024115E12,0,5
Automobile,2021,4,-0.0025,0.0201,29.5,2.890164024115E12,3,5
Automobile,2021,5,0.0041,0.0183,29.5,2.890164024115E12,2,5
Automobile,2021,6,2.0E-4,0.0126,29.5,2.890164024115E12,1,5
Automobile,2021,7,-0.0027,0.0096,29.5,2.890164024115E12,0,5
Automobile,2021,8,6.0E-4,0.0119,29.5,2.890164024115E12,0,5
Automobile,2021,9,0.0022,0.0132,29.5,2.890164024115E12,1,5
Automobile,2021,10,-5.0E-4,0.0165,29.5,2.890164024115E12,2,5
Automobile,2021,11,-0.0035,0.017,29.5,2.890164024115E12,3,5
Automobile,2021,12,9.0E-4,0.0162,29.5,2.890164024115E12,0,5
Automobile,2022,1,0.0038,0.0155,29.5,2.890164024115E12,2,5
Automobile,2022,2,-0.0018,0.0192,29.5,2.890164024115E12,4,5
Automobile,2022,3,-0.001,0.0245,29.5,2.890164024115E12,4,5
Automobile,2022,4,0.0033,0.0165,29.5,2.890164024115E12,2,5
Automobile,2022,5,0.0029,0.0205,29.5,2.890164024115E12,1,5
Automobile,2022,6,0.0014,0.0188,29.5,2.890164024115E12,4,5
Automobile,2022,7,0.0042,0.0174,29.5,2.890164024115E12,1,5
Automobile,2022,8,0.0022,0.0146,29.5,2.890164024115E12,0,5
Automobile,2022,9,-0.0022,0.0142,29.5,2.890164024115E12,1,5
Automobile,2022,10,0.0028,0.0168,29.5,2.890164024115E12,1,5
Automobile,2022,11,-0.0012,0.013,29.5,2.890164024115E12,0,5
Automobile,2022,12,-0.0022,0.0125,29.5,2.890164024115E12,0,5
Automobile,2023,1,0.0018,0.0123,29.5,2.890164024115E12,1,5
Automobile,2023,2,-0.0021,0.0137,29.5,2.890164024115E12,1,5
Automobile,2023,3,-0.002,0.0124,29.5,2.890164024115E12,0,5
Automobile,2023,4,0.0051,0.0128,29.5,2.890164024115E12,0,5
Automobile,2023,5,0.0036,0.0111,29.5,2.890164024115E12,1,5
Automobile,2023,6,0.002,0.0115,29.5,2.890164024115E12,0,5
Automobile,2023,7,0.0011,0.0164,29.5,2.890164024115E12,3,5
Automobile,2023,8,3.0E-4,0.0123,29.5,2.890164024115E12,0,5
Automobile,2023,9,0.0016,0.0118,29.5,2.890164024115E12,1,5
Automobile,2023,10,-7.0E-4,0.0144,29.5,2.890164024115E12,1,5
Automobile,2023,11,0.0065,0.0141,29.5,2.890164024115E12,1,5
Automobile,2023,12,0.0026,0.0147,29.5,2.890164024115E12,1,5
Automobile,2024,1,0.0022,0.0148,29.5,2.890164024115E12,1,5
Automobile,2024,2,0.003,0.017,29.5,2.890164024115E12,1,5
Automobile,2024,3,0.0027,0.0182,29.5,2.890164024115E12,0,5
Automobile,2024,4,0.0027,0.0165,29.5,2.890164024115E12,0,5
Automobile,2024,5,0.0028,0.0153,29.5,2.890164024115E12,1,5
Automobile,2024,6,0.0026,0.0183,29.5,2.890164024115E12,4,5
Automobile,2024,7,0.0014,0.014,29.5,2.890164024115E12,2,5
Automobile,2024,8,8.0E-4,0.0162,29.5,2.890164024115E12,1,5
Automobile,2024,9,0.0033,0.0129,29.5,2.890164024115E12,1,5
Automobile,2024,10,-0.0055,0.0193,29.5,2.890164024115E12,1,5
Automobile,2024,11,-0.0012,0.0201,29.5,2.890164024115E12,1,5
Automobile,2024,12,-9.0E-4,0.0133,29.5,2.890164024115E12,0,5
Automobile,2025,1,0.0031,0.0167,29.5,2.890164024115E12,2,5
Automobile,2025,2,-0.0069,0.0174,29.5,2.890164024115E12,3,5
Automobile,2025,3,0.0013,0.0179,29.5,2.890164024115E12,0,5
Automobile,2025,4,0.0028,0.0168,29.5,2.890164024115E12,0,5
Automobile,2025,5,0.0017,0.0182,29.5,2.890164024115E12,1,5
Automobile,2025,6,0.0012,0.0127,29.5,2.890164024115E12,0,5
Automobile,2025,7,-2.0E-4,0.0106,29.5,2.890164024115E12,0,5
Automobile,2025,8,0.0072,0.0145,29.5,2.890164024115E12,3,5
Automobile,2025,9,0.0021,0.0162,29.5,2.890164024115E12,1,5
Automobile,2025,10,7.0E-4,0.0107,29.5,2.890164024115E12,0,5
Automobile,2025,11,0.0024,0.0115,29.5,2.890164024115E12,0,5
Automobile,2025,12,5.0E-4,0.0112,29.5,2.890164024115E12,0,5
Automobile,2026,1,-0.003,0.0114,29.5,2.890164024115E12,0,5
Cement,2001,7,0.0072,0.0061,56.5,9.73638991872E11,6,1
Cement,2001,8,-5.0E-4,0.0347,56.5,9.73638991872E11,0,1
Cement,2001,9,-0.0123,0.0371,56.5,9.73638991872E11,5,1
Cement,2001,10,0.011,0.037,56.5,9.73638991872E11,2,1
Cement,2001,11,0.0059,0.0276,56.5,9.73638991872E11,2,1
Cement,2001,12,0.0065,0.0555,56.5,9.73638991872E11,11,1
Cement,2002,1,0.0016,0.0526,56.5,9.73638991872E11,3,1
Cement,2002,2,-0.0045,0.026,56.5,9.73638991872E11,1,1
Cement,2002,3,0.0015,0.024,56.5,9.73638991872E11,0,1
Cement,2002,4,0.0034,0.0157,56.5,9.73638991872E11,1,1
Cement,2002,5,-6.0E-4,0.034,56.5,9.73638991872E11,4,1
Cement,2002,6,0.0113,0.0343,55.94,1.016311185408E12,4,2
Cement,2002,7,-0.0049,0.0182,50.37,1.443033120768E12,5,2
Cement,2002,8,0.0013,0.0169,49.93,2.045862257071E12,1,3
Cement,2002,9,-4.0E-4,0.0139,49.81,2.206616693419E12,0,3
Cement,2002,10,0.0,0.0109,49.81,2.206616693419E12,0,3
Cement,2002,11,0.0015,0.0171,49.81,2.206616693419E12,1,3
Cement,2002,12,0.0016,0.0205,49.81,2.206616693419E12,3,3
Cement,2003,1,0.0021,0.0188,49.81,2.206616693419E12,0,3
Cement,2003,2,0.0019,0.0134,49.81,2.206616693419E12,0,3
Cement,2003,3,-0.0032,0.0141,49.81,2.206616693419E12,1,3
Cement,2003,4,0.004,0.0149,49.81,2.206616693419E12,0,3
Cement,2003,5,0.0066,0.0173,49.81,2.206616693419E12,2,3
Cement,2003,6,0.0114,0.0256,49.81,2.206616693419E12,7,3
Cement,2003,7,0.0075,0.0302,49.81,2.206616693419E12,4,3
Cement,2003,8,0.0034,0.0269,49.81,2.206616693419E12,3,3
Cement,2003,9,0.0011,0.0244,49.81,2.206616693419E12,1,3
Cement,2003,10,0.0088,0.027,49.81,2.206616693419E12,8,3
Cement,2003,11,0.0067,0.0356,49.81,2.206616693419E12,4,3
Cement,2003,12,0.0064,0.0221,49.81,2.206616693419E12,3,3
Cement,2004,1,0.0021,0.0285,49.81,2.206616693419E12,5,3
Cement,2004,2,1.0E-4,0.0283,49.81,2.206616693419E12,6,3
Cement,2004,3,7.0E-4,0.028,49.81,2.206616693419E12,3,3
Cement,2004,4,0.0086,0.0236,49.81,2.206616693419E12,2,3
Cement,2004,5,-0.0053,0.0361,49.81,2.206616693419E12,14,3
Cement,2004,6,-9.0E-4,0.0328,49.81,2.206616693419E12,6,3
Cement,2004,7,6.0E-4,0.0254,49.81,2.206616693419E12,6,3
Cement,2004,8,-0.0051,0.0352,49.81,2.206616693419E12,2,3
Cement,2004,9,-3.0E-4,0.0469,49.81,2.206616693419E12,0,3
Cement,2004,10,0.003,0.0206,49.81,2.206616693419E12,4,3
Cement,2004,11,9.0E-4,0.0199,49.81,2.206616693419E12,1,3
Cement,2004,12,0.0068,0.0185,49.81,2.206616693419E12,2,3
Cement,2005,1,0.0029,0.0202,49.81,2.206616693419E12,3,3
Cement,2005,2,0.0029,0.0233,49.81,2.206616693419E12,3,3
Cement,2005,3,-9.0E-4,0.0171,49.81,2.206616693419E12,0,3
